Sample	Unique Reads	Duplicate Reads
sample_1.trimmed.R1.v1	15775618.0	74492637.0
sample_1.trimmed.R2.v1	19526446.0	70741809.0
sample_10.trimmed.R1.v1	20859769.0	89721621.0
sample_10.trimmed.R2.v1	24429503.0	86151887.0
sample_11.trimmed.R1.v1	19675611.0	85553361.0
sample_11.trimmed.R2.v1	22614659.0	82614313.0
sample_12.trimmed.R1.v1	18150766.0	81286123.0
sample_12.trimmed.R2.v1	21966807.0	77470082.0
sample_13.trimmed.R1.v1	18824838.0	85075567.0
sample_13.trimmed.R2.v1	22826230.0	81074175.0
sample_14.trimmed.R1.v1	21862682.0	101725417.0
sample_14.trimmed.R2.v1	26345252.0	97242847.0
sample_15.trimmed.R1.v1	18682713.0	82681464.0
sample_15.trimmed.R2.v1	22863025.0	78501152.0
sample_16.trimmed.R1.v1	18344678.0	81854443.0
sample_16.trimmed.R2.v1	22533049.0	77666072.0
sample_17.trimmed.R1.v1	21269595.0	85157035.0
sample_17.trimmed.R2.v1	25376798.0	81049832.0
sample_18.trimmed.R1.v1	17818493.0	74559348.0
sample_18.trimmed.R2.v1	21121622.0	71256219.0
sample_19.trimmed.R1.v1	14969256.0	67492760.0
sample_19.trimmed.R2.v1	18582429.0	63879587.0
sample_2.trimmed.R1.v1	18327992.0	72282992.0
sample_2.trimmed.R2.v1	21907475.0	68703509.0
sample_20.trimmed.R1.v1	17293249.0	67872703.0
sample_20.trimmed.R2.v1	20681401.0	64484551.0
sample_21.trimmed.R1.v1	18182478.0	68212304.0
sample_21.trimmed.R2.v1	21484507.0	64910275.0
sample_22.trimmed.R1.v1	16803965.0	68268565.0
sample_22.trimmed.R2.v1	20100869.0	64971661.0
sample_23.trimmed.R1.v1	16473326.0	67626811.0
sample_23.trimmed.R2.v1	20102416.0	63997721.0
sample_24.trimmed.R1.v1	18842334.0	77116831.0
sample_24.trimmed.R2.v1	23229126.0	72730039.0
sample_25.trimmed.R1.v1	17788188.0	79386121.0
sample_25.trimmed.R2.v1	21820998.0	75353311.0
sample_26.trimmed.R1.v1	19833195.0	74707142.0
sample_26.trimmed.R2.v1	24347187.0	70193150.0
sample_27.trimmed.R1.v1	18101202.0	77078743.0
sample_27.trimmed.R2.v1	22690343.0	72489602.0
sample_28.trimmed.R1.v1	16021531.0	66110521.0
sample_28.trimmed.R2.v1	19478872.0	62653180.0
sample_29.trimmed.R1.v1	16475160.0	70276972.0
sample_29.trimmed.R2.v1	20484040.0	66268092.0
sample_3.trimmed.R1.v1	18177547.0	75252201.0
sample_3.trimmed.R2.v1	22174064.0	71255684.0
sample_30.trimmed.R1.v1	14725952.0	73148897.0
sample_30.trimmed.R2.v1	17929000.0	69945849.0
sample_31.trimmed.R1.v1	17897861.0	75772304.0
sample_31.trimmed.R2.v1	21873385.0	71796780.0
sample_32.trimmed.R1.v1	18810525.0	76246655.0
sample_32.trimmed.R2.v1	22263142.0	72794038.0
sample_33.trimmed.R1.v1	16244887.0	78732501.0
sample_33.trimmed.R2.v1	20016387.0	74961001.0
sample_34.trimmed.R1.v1	16188157.0	74787763.0
sample_34.trimmed.R2.v1	19938860.0	71037060.0
sample_35.trimmed.R1.v1	17410183.0	78442212.0
sample_35.trimmed.R2.v1	21203336.0	74649059.0
sample_36.trimmed.R1.v1	13754239.0	70823238.0
sample_36.trimmed.R2.v1	15512502.0	69064975.0
sample_37.trimmed.R1.v1	16300799.0	66001694.0
sample_37.trimmed.R2.v1	20169001.0	62133492.0
sample_38.trimmed.R1.v1	17702532.0	72789323.0
sample_38.trimmed.R2.v1	21202725.0	69289130.0
sample_39.trimmed.R1.v1	16840707.0	76208179.0
sample_39.trimmed.R2.v1	20630797.0	72418089.0
sample_4.trimmed.R1.v1	15263792.0	69092156.0
sample_4.trimmed.R2.v1	18463794.0	65892154.0
sample_40.trimmed.R1.v1	18701607.0	82418090.0
sample_40.trimmed.R2.v1	22915777.0	78203920.0
sample_41.trimmed.R1.v1	18273718.0	75838373.0
sample_41.trimmed.R2.v1	21871669.0	72240422.0
sample_42.trimmed.R1.v1	19079326.0	82911824.0
sample_42.trimmed.R2.v1	23226235.0	78764915.0
sample_43.trimmed.R1.v1	16632704.0	64584734.0
sample_43.trimmed.R2.v1	20191646.0	61025792.0
sample_44.trimmed.R1.v1	24179819.0	136418474.0
sample_44.trimmed.R2.v1	30299196.0	130299097.0
sample_45.trimmed.R1.v1	898150.0	981953.0
sample_45.trimmed.R2.v1	993771.0	886332.0
sample_46.trimmed.R1.v1	18785580.0	66822581.0
