GO	term_name
GO:0004930	G protein-coupled receptor activity
GO:0007186	G protein-coupled receptor signaling pathway
GO:0016021	NA
GO:0004222	metalloendopeptidase activity
GO:0006508	proteolysis
GO:0008237	metallopeptidase activity
GO:0008270	zinc ion binding
GO:0005515	protein binding
GO:0005576	extracellular region
GO:0008033	tRNA processing
GO:0008168	methyltransferase activity
GO:0003676	nucleic acid binding
GO:0004523	RNA-DNA hybrid ribonuclease activity
GO:0003700	DNA-binding transcription factor activity
GO:0005634	nucleus
GO:0006355	regulation of DNA-templated transcription
GO:0043565	sequence-specific DNA binding
GO:0005524	ATP binding
GO:0016887	ATP hydrolysis activity
GO:0005509	calcium ion binding
GO:0016788	hydrolase activity, acting on ester bonds
GO:0016888	endodeoxyribonuclease activity, producing 5'-phosphomonoesters
GO:0003824	catalytic activity
GO:0004807	triose-phosphate isomerase activity
GO:0006096	glycolytic process
GO:0006281	DNA repair
GO:0006284	base-excision repair
GO:0003723	RNA binding
GO:0000502	proteasome complex
GO:0030234	enzyme regulator activity
GO:0042176	regulation of protein catabolic process
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0008047	enzyme activator activity
GO:0043085	positive regulation of catalytic activity
GO:0006886	intracellular protein transport
GO:0008536	NA
GO:0003735	structural constituent of ribosome
GO:0005840	ribosome
GO:0006412	translation
GO:0016787	hydrolase activity
GO:0003924	GTPase activity
GO:0005525	GTP binding
GO:0003677	DNA binding
GO:0004672	protein kinase activity
GO:0006468	protein phosphorylation
GO:0016020	membrane
GO:0022857	transmembrane transporter activity
GO:0055085	transmembrane transport
GO:0016491	oxidoreductase activity
GO:0055114	NA
GO:0030246	carbohydrate binding
GO:0007165	signal transduction
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0006506	GPI anchor biosynthetic process
GO:0051377	mannose-ethanolamine phosphotransferase activity
GO:0005856	cytoskeleton
GO:0019825	oxygen binding
GO:0020037	heme binding
GO:0042721	TIM22 mitochondrial import inner membrane insertion complex
GO:0006511	ubiquitin-dependent protein catabolic process
GO:0016579	protein deubiquitination
GO:0036459	NA
GO:0004970	ionotropic glutamate receptor activity
GO:0016758	hexosyltransferase activity
GO:0006486	protein glycosylation
GO:0008378	galactosyltransferase activity
GO:0005874	microtubule
GO:0007017	microtubule-based process
GO:0006260	DNA replication
GO:0006270	DNA replication initiation
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0005230	extracellular ligand-gated monoatomic ion channel activity
GO:0006811	monoatomic ion transport
GO:0005548	phospholipid transporter activity
GO:0015914	phospholipid transport
GO:0009058	biosynthetic process
GO:0016742	hydroxymethyl-, formyl- and related transferase activity
GO:0005096	GTPase activator activity
GO:0051056	regulation of small GTPase mediated signal transduction
GO:0016307	NA
GO:0046488	phosphatidylinositol metabolic process
GO:0035556	intracellular signal transduction
GO:0046872	metal ion binding
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex
GO:0030150	protein import into mitochondrial matrix
GO:0005216	monoatomic ion channel activity
GO:0004164	diphthine synthase activity
GO:0017183	protein histidyl modification to diphthamide
GO:0006457	protein folding
GO:0051082	unfolded protein binding
GO:0005737	cytoplasm
GO:0030163	protein catabolic process
GO:0042626	ATPase-coupled transmembrane transporter activity
GO:0003712	transcription coregulator activity
GO:0006357	regulation of transcription by RNA polymerase II
GO:0016592	mediator complex
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
GO:0006164	purine nucleotide biosynthetic process
GO:0006189	'de novo' IMP biosynthetic process
GO:0004044	amidophosphoribosyltransferase activity
GO:0009113	purine nucleobase biosynthetic process
GO:0009116	nucleoside metabolic process
GO:0003934	GTP cyclohydrolase I activity
GO:0046654	tetrahydrofolate biosynthetic process
GO:0008483	transaminase activity
GO:0030170	pyridoxal phosphate binding
GO:0005783	endoplasmic reticulum
GO:0005739	mitochondrion
GO:0008137	NADH dehydrogenase (ubiquinone) activity
GO:0004003	NA
GO:0006139	nucleobase-containing compound metabolic process
GO:0006289	nucleotide-excision repair
GO:0008026	NA
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0046854	phosphatidylinositol phosphate biosynthetic process
GO:0005200	structural constituent of cytoskeleton
GO:0006352	DNA-templated transcription initiation
GO:0046982	protein heterodimerization activity
GO:0046912	acyltransferase activity, acyl groups converted into alkyl on transfer
GO:0048037	NA
GO:0007275	multicellular organism development
GO:0004364	glutathione transferase activity
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen
GO:0005249	voltage-gated potassium channel activity
GO:0006813	potassium ion transport
GO:0004842	ubiquitin-protein transferase activity
GO:0000413	protein peptidyl-prolyl isomerization
GO:0003755	peptidyl-prolyl cis-trans isomerase activity
GO:0003777	microtubule motor activity
GO:0007018	microtubule-based movement
GO:0008017	microtubule binding
GO:0003743	translation initiation factor activity
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
GO:0065003	protein-containing complex assembly
GO:0006313	DNA transposition
GO:0015074	DNA integration
GO:0008236	serine-type peptidase activity
GO:0004252	serine-type endopeptidase activity
GO:0051225	spindle assembly
GO:0070652	HAUS complex
GO:0005432	calcium:sodium antiporter activity
GO:0006816	calcium ion transport
GO:0007154	cell communication
GO:0003779	actin binding
GO:0008091	spectrin
GO:0005543	phospholipid binding
GO:0004559	alpha-mannosidase activity
GO:0005975	carbohydrate metabolic process
GO:0006013	mannose metabolic process
GO:0008146	sulfotransferase activity
GO:0008654	phospholipid biosynthetic process
GO:0016780	phosphotransferase activity, for other substituted phosphate groups
GO:0015935	small ribosomal subunit
GO:0007160	cell-matrix adhesion
GO:0005506	iron ion binding
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0031418	L-ascorbic acid binding
GO:0005743	mitochondrial inner membrane
GO:0007264	small GTPase mediated signal transduction
GO:0042578	phosphoric ester hydrolase activity
GO:0016192	vesicle-mediated transport
GO:0030131	clathrin adaptor complex
GO:0003774	cytoskeletal motor activity
GO:0016459	myosin complex
GO:0004177	aminopeptidase activity
GO:0008235	metalloexopeptidase activity
GO:0019538	protein metabolic process
GO:0030145	manganese ion binding
GO:1990904	ribonucleoprotein complex
GO:0042254	ribosome biogenesis
GO:0006904	vesicle docking involved in exocytosis
GO:0006520	amino acid metabolic process
GO:0016829	lyase activity
GO:0004675	transmembrane receptor protein serine/threonine kinase activity
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0000398	mRNA splicing, via spliceosome
GO:0006396	RNA processing
GO:0001671	ATPase activator activity
GO:0051087	protein-folding chaperone binding
GO:0051259	protein complex oligomerization
GO:0097428	protein maturation by iron-sulfur cluster transfer
GO:0003682	chromatin binding
GO:0005085	guanyl-nucleotide exchange factor activity
GO:0003810	protein-glutamine gamma-glutamyltransferase activity
GO:0018149	peptide cross-linking
GO:0016757	glycosyltransferase activity
GO:0019104	DNA N-glycosylase activity
GO:0006869	lipid transport
GO:0008289	lipid binding
GO:0061817	endoplasmic reticulum-plasma membrane tethering
GO:0061630	ubiquitin protein ligase activity
GO:0000287	magnesium ion binding
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups
GO:0016791	phosphatase activity
GO:0006516	glycoprotein catabolic process
GO:0004181	metallocarboxypeptidase activity
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
GO:0006265	DNA topological change
GO:0001607	neuromedin U receptor activity
GO:0004853	uroporphyrinogen decarboxylase activity
GO:0006779	porphyrin-containing compound biosynthetic process
GO:0046983	protein dimerization activity
GO:0004497	monooxygenase activity
GO:0003746	translation elongation factor activity
GO:0006414	translational elongation
GO:0004197	cysteine-type endopeptidase activity
GO:0008234	cysteine-type peptidase activity
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
GO:0050660	flavin adenine dinucleotide binding
GO:0006659	phosphatidylserine biosynthetic process
GO:0005681	spliceosomal complex
GO:0005328	neurotransmitter:sodium symporter activity
GO:0004001	adenosine kinase activity
GO:0006166	purine ribonucleoside salvage
GO:0016773	phosphotransferase activity, alcohol group as acceptor
GO:0004198	calcium-dependent cysteine-type endopeptidase activity
GO:0031417	NatC complex
GO:0005198	structural molecule activity
GO:0051536	iron-sulfur cluster binding
GO:0004674	protein serine/threonine kinase activity
GO:0016772	transferase activity, transferring phosphorus-containing groups
GO:0016070	RNA metabolic process
GO:0006367	transcription initiation at RNA polymerase II promoter
GO:0008446	GDP-mannose 4,6-dehydratase activity
GO:0019673	GDP-mannose metabolic process
GO:0050662	NA
GO:0003713	transcription coactivator activity
GO:0004714	transmembrane receptor protein tyrosine kinase activity
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway
GO:0006637	acyl-CoA metabolic process
GO:0016790	thiolester hydrolase activity
GO:2001256	regulation of store-operated calcium entry
GO:0030176	NA
GO:0015075	monoatomic ion transmembrane transporter activity
GO:0015031	protein transport
GO:0030117	membrane coat
GO:0030122	AP-2 adaptor complex
GO:0035615	clathrin adaptor activity
GO:0072583	clathrin-dependent endocytosis
GO:0000166	nucleotide binding
GO:0004812	aminoacyl-tRNA ligase activity
GO:0006418	tRNA aminoacylation for protein translation
GO:0015629	actin cytoskeleton
GO:0030042	actin filament depolymerization
GO:0098599	palmitoyl hydrolase activity
GO:0004725	protein tyrosine phosphatase activity
GO:0006470	protein dephosphorylation
GO:0035091	phosphatidylinositol binding
GO:0016311	dephosphorylation
GO:0008417	fucosyltransferase activity
GO:0000139	Golgi membrane
GO:0015165	pyrimidine nucleotide-sugar transmembrane transporter activity
GO:0090481	pyrimidine nucleotide-sugar transmembrane transport
GO:0004454	ketohexokinase activity
GO:0006000	fructose metabolic process
GO:0004888	transmembrane signaling receptor activity
GO:0034220	monoatomic ion transmembrane transport
GO:0006777	Mo-molybdopterin cofactor biosynthetic process
GO:0008265	Mo-molybdopterin cofactor sulfurase activity
GO:0030151	molybdenum ion binding
GO:0004185	serine-type carboxypeptidase activity
GO:0005507	copper ion binding
GO:0016715	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen
GO:0000902	cell morphogenesis
GO:0030008	TRAPP complex
GO:0005089	NA
GO:0035023	regulation of Rho protein signal transduction
GO:0004788	thiamine diphosphokinase activity
GO:0006772	thiamine metabolic process
GO:0009229	thiamine diphosphate biosynthetic process
GO:0030975	thiamine binding
GO:0015991	NA
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain
GO:0046961	proton-transporting ATPase activity, rotational mechanism
GO:0005201	extracellular matrix structural constituent
GO:0005581	collagen trimer
GO:0004803	transposase activity
GO:0004867	serine-type endopeptidase inhibitor activity
GO:0030212	hyaluronan metabolic process
GO:0048208	COPII vesicle coating
GO:0005272	sodium channel activity
GO:0006814	sodium ion transport
GO:0003873	6-phosphofructo-2-kinase activity
GO:0006003	fructose 2,6-bisphosphate metabolic process
GO:0005102	signaling receptor binding
GO:0016055	Wnt signaling pathway
GO:0004144	diacylglycerol O-acyltransferase activity
GO:0000178	exosome (RNase complex)
GO:0005694	chromosome
GO:0051276	chromosome organization
GO:0004601	peroxidase activity
GO:0006979	response to oxidative stress
GO:0120009	intermembrane lipid transfer
GO:0120013	lipid transfer activity
GO:0016226	iron-sulfur cluster assembly
GO:0007034	vacuolar transport
GO:0043087	regulation of GTPase activity
GO:0009190	cyclic nucleotide biosynthetic process
GO:0016849	phosphorus-oxygen lyase activity
GO:0005667	transcription regulator complex
GO:0007179	transforming growth factor beta receptor signaling pathway
GO:1902600	proton transmembrane transport
GO:0015986	proton motive force-driven ATP synthesis
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)
GO:0046034	ATP metabolic process
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism
GO:0015078	proton transmembrane transporter activity
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
GO:0033179	proton-transporting V-type ATPase, V0 domain
GO:0004450	isocitrate dehydrogenase (NADP+) activity
GO:0006102	isocitrate metabolic process
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0051287	NAD binding
GO:0008746	NAD(P)+ transhydrogenase activity
GO:0006413	translational initiation
GO:0034316	negative regulation of Arp2/3 complex-mediated actin nucleation
GO:0071933	Arp2/3 complex binding
GO:0033180	proton-transporting V-type ATPase, V1 domain
GO:0000175	3'-5'-RNA exonuclease activity
GO:0001664	G protein-coupled receptor binding
GO:0019001	guanyl nucleotide binding
GO:0031683	G-protein beta/gamma-subunit complex binding
GO:0010181	FMN binding
GO:0016480	negative regulation of transcription by RNA polymerase III
GO:0003995	acyl-CoA dehydrogenase activity
GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
GO:0005215	transporter activity
GO:0004703	G protein-coupled receptor kinase activity
GO:0003899	DNA-directed 5'-3' RNA polymerase activity
GO:0005665	RNA polymerase II, core complex
GO:0006351	DNA-templated transcription
GO:0006366	transcription by RNA polymerase II
GO:0006857	oligopeptide transport
GO:0005484	SNAP receptor activity
GO:0048193	Golgi vesicle transport
GO:0004104	cholinesterase activity
GO:0018024	NA
GO:0034968	histone lysine methylation
GO:0004089	carbonate dehydratase activity
GO:0015631	tubulin binding
GO:0008083	growth factor activity
GO:0005779	NA
GO:0007031	peroxisome organization
GO:0008173	RNA methyltransferase activity
GO:0042302	structural constituent of cuticle
GO:0005094	Rho GDP-dissociation inhibitor activity
GO:0006400	tRNA modification
GO:0008193	tRNA guanylyltransferase activity
GO:0004824	lysine-tRNA ligase activity
