Module	Section	Sample Name	Source
STAR	SummaryLog	sample_56	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_56_Log.final.out
STAR	SummaryLog	sample_23	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_23_Log.final.out
STAR	SummaryLog	sample_42	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_42_Log.final.out
STAR	SummaryLog	sample_37	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_37_Log.final.out
STAR	SummaryLog	sample_2	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_2_Log.final.out
STAR	SummaryLog	sample_47	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_47_Log.final.out
STAR	SummaryLog	sample_32	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_32_Log.final.out
STAR	SummaryLog	sample_53	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_53_Log.final.out
STAR	SummaryLog	sample_26	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_26_Log.final.out
STAR	SummaryLog	sample_7	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_7_Log.final.out
STAR	SummaryLog	sample_8	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_8_Log.final.out
STAR	SummaryLog	sample_60	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_60_Log.final.out
STAR	SummaryLog	sample_15	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_15_Log.final.out
STAR	SummaryLog	sample_29	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_29_Log.final.out
STAR	SummaryLog	sample_48	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_48_Log.final.out
STAR	SummaryLog	sample_10	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_10_Log.final.out
STAR	SummaryLog	sample_38	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_38_Log.final.out
STAR	SummaryLog	sample_59	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_59_Log.final.out
STAR	SummaryLog	sample_12	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_12_Log.final.out
STAR	SummaryLog	sample_17	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_17_Log.final.out
STAR	SummaryLog	sample_62	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_62_Log.final.out
STAR	SummaryLog	sample_30	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_30_Log.final.out
STAR	SummaryLog	sample_45	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_45_Log.final.out
STAR	SummaryLog	sample_24	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_24_Log.final.out
STAR	SummaryLog	sample_51	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_51_Log.final.out
STAR	SummaryLog	sample_18	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_18_Log.final.out
STAR	SummaryLog	sample_5	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_5_Log.final.out
STAR	SummaryLog	sample_21	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_21_Log.final.out
STAR	SummaryLog	sample_54	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_54_Log.final.out
STAR	SummaryLog	sample_35	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_35_Log.final.out
STAR	SummaryLog	sample_40	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_40_Log.final.out
STAR	SummaryLog	sample_20	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_20_Log.final.out
STAR	SummaryLog	sample_55	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_55_Log.final.out
STAR	SummaryLog	sample_34	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_34_Log.final.out
STAR	SummaryLog	sample_41	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_41_Log.final.out
STAR	SummaryLog	sample_1	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_1_Log.final.out
STAR	SummaryLog	sample_31	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_31_Log.final.out
STAR	SummaryLog	sample_44	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_44_Log.final.out
STAR	SummaryLog	sample_25	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_25_Log.final.out
STAR	SummaryLog	sample_50	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_50_Log.final.out
STAR	SummaryLog	sample_19	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_19_Log.final.out
STAR	SummaryLog	sample_4	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_4_Log.final.out
STAR	SummaryLog	sample_16	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_16_Log.final.out
STAR	SummaryLog	sample_63	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_63_Log.final.out
STAR	SummaryLog	sample_13	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_13_Log.final.out
STAR	SummaryLog	sample_11	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_11_Log.final.out
STAR	SummaryLog	sample_39	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_39_Log.final.out
STAR	SummaryLog	sample_58	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_58_Log.final.out
STAR	SummaryLog	sample_9	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_9_Log.final.out
STAR	SummaryLog	sample_61	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_61_Log.final.out
STAR	SummaryLog	sample_14	/scratch/lspencer/snowcrab-OA-2022/aligned_snow_star/sample_14_Log.final.out
