Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
sample_1	83.04	74960878.0
sample_10	76.63	84733654.0
sample_11	77.47	81517705.0
sample_12	81.49	81035792.0
sample_13	78.18	81234495.0
sample_14	80.1	98994986.0
sample_15	80.88	81983226.0
sample_16	80.66	80815966.0
sample_17	77.67	82662012.0
sample_18	78.23	72264263.0
sample_19	81.52	67224340.0
sample_2	74.69	67679420.0
sample_20	80.45	68513321.0
sample_21	76.75	66308530.0
sample_22	81.71	69511074.0
sample_23	81.37	68430180.0
sample_24	75.21	72170202.0
sample_25	81.31	79016644.0
sample_26	79.53	75190378.0
sample_27	77.51	73770969.0
sample_28	76.75	63038065.0
sample_29	80.48	69819980.0
sample_3	78.06	72930064.0
sample_30	81.28	71429056.0
sample_31	76.17	71343952.0
sample_32	82.01	77954923.0
sample_33	79.64	75636514.0
sample_34	71.75	65278054.0
sample_35	77.92	74689353.0
sample_36	77.09	65204630.0
sample_37	76.18	62698800.0
sample_38	79.38	71829371.0
sample_39	81.83	76141789.0
sample_4	58.88	49667078.0
sample_40	81.6	82515089.0
sample_41	81.86	77038085.0
sample_42	81.37	82987004.0
sample_43	80.09	65050442.0
sample_44	80.74	129673614.0
sample_45	80.15	1506859.0
sample_46	79.89	68394241.0
sample_47	79.52	79612197.0
sample_48	80.92	70786838.0
sample_49	78.52	76105611.0
sample_5	81.65	62861549.0
sample_50	79.04	78669850.0
sample_51	74.59	81448652.0
sample_52	80.12	76557393.0
sample_53	76.9	104693589.0
sample_54	81.64	108238693.0
sample_55	82.41	83969394.0
sample_56	81.43	96477626.0
sample_57	80.91	76901978.0
sample_58	81.95	78781077.0
sample_59	76.43	76081432.0
sample_6	82.53	59236915.0
sample_60	77.26	89116816.0
sample_61	78.1	108293848.0
sample_62	76.68	133468618.0
sample_63	78.54	77033730.0
sample_7	77.29	55995628.0
sample_8	79.3	75853448.0
sample_9	78.25	84560374.0
