Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
1	59.75	53932071.0
10	54.9	60709257.0
11	55.53	58430798.0
12	59.05	58717860.0
13	56.12	58311439.0
14	57.47	71024586.0
15	58.3	59098331.0
16	57.96	58076882.0
17	55.78	59369394.0
18	56.01	51741190.0
19	58.83	48510686.0
2	52.58	47639594.0
20	57.06	48594663.0
21	53.82	46496776.0
22	59.76	50840951.0
23	58.9	49536550.0
24	53.99	51808369.0
25	58.91	57240896.0
26	57.39	54257019.0
27	54.61	51975891.0
28	54.91	45096155.0
29	57.1	49538944.0
3	55.68	52018191.0
30	58.97	51820121.0
31	53.34	49966981.0
32	59.17	56247088.0
33	56.91	54056202.0
34	51.41	46775023.0
35	55.12	52836616.0
36	53.29	45074089.0
37	55.41	45604928.0
38	57.56	52087378.0
39	59.07	54964814.0
4	41.33	34861676.0
40	59.94	60606366.0
41	59.65	56139164.0
42	57.67	58814183.0
43	58.84	47787816.0
44	57.83	92876151.0
45	57.76	1086014.0
46	59.07	50568160.0
47	56.65	56708738.0
48	58.58	51241867.0
49	56.65	54902056.0
5	58.59	45106792.0
50	57.26	56991686.0
51	54.75	59782353.0
52	57.46	54909470.0
53	54.84	74667791.0
54	58.74	77869280.0
55	59.09	60211848.0
56	59.1	70023138.0
57	58.46	55564409.0
58	58.75	56476582.0
59	54.44	54194166.0
6	58.95	42309712.0
60	55.16	63621846.0
61	55.12	76435005.0
62	54.59	95023133.0
63	55.95	54881895.0
7	52.98	38385935.0
8	56.17	53730201.0
9	55.9	60403057.0
