"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","membrane","36.96%","51","135","1412","5845","4.03e-4","7.91e-2","1.56","1.02e-1","7.91e-2","2.50e-4"
"GOTERM_CC_DIRECT","actin cytoskeleton","5.80%","8","135","64","5845","5.95e-4","7.91e-2","5.41","1.46e-1","7.91e-2","9.80e-5"
"GOTERM_BP_DIRECT","lipid homeostasis","3.62%","5","133","21","5659","1.24e-3","1.00e+0","10.13","6.93e-1","1.00e+0","1.00e-4"
"UP_SEQ_FEATURE","TRANSMEM:Helical","34.78%","48","135","1354","5763","1.45e-3","6.66e-1","1.51","6.66e-1","6.66e-1","9.29e-4"
"GOTERM_CC_DIRECT","plasma membrane","30.43%","42","135","1153","5845","1.61e-3","1.43e-1","1.58","3.48e-1","1.43e-1","9.83e-4"
"GOTERM_MF_DIRECT","cadherin binding","4.35%","6","130","38","5577","1.67e-3","4.18e-1","6.77","4.82e-1","4.18e-1","2.14e-4"
"UP_KW_CELLULAR_COMPONENT","Cell junction","7.25%","10","122","122","5258","1.84e-3","2.37e-2","3.53","4.86e-2","2.10e-2","4.80e-4"
"GOTERM_MF_DIRECT","protein binding","42.03%","58","130","1781","5577","2.12e-3","4.18e-1","1.40","5.67e-1","4.18e-1","1.48e-3"
"UP_KW_MOLECULAR_FUNCTION","Developmental protein","13.04%","18","89","356","3890","2.14e-3","5.24e-2","2.21","9.96e-2","5.24e-2","9.15e-4"
"UP_KW_MOLECULAR_FUNCTION","Developmental protein","13.04%","18","89","356","3890","2.14e-3","5.24e-2","2.21","9.96e-2","5.24e-2","9.15e-4"
"UP_KW_CELLULAR_COMPONENT","Endosome","10.87%","15","122","258","5258","2.22e-3","2.37e-2","2.51","5.83e-2","2.10e-2","8.32e-4"
"GOTERM_BP_DIRECT","positive regulation of gene expression","6.52%","9","133","104","5659","2.79e-3","1.00e+0","3.68","9.29e-1","1.00e+0","6.94e-4"
"UP_KW_CELLULAR_COMPONENT","Membrane","48.55%","67","122","2196","5258","2.80e-3","2.37e-2","1.31","7.29e-2","2.10e-2","2.08e-3"
"UP_SEQ_FEATURE","COMPBIAS:Polar residues","39.86%","55","135","1669","5763","2.90e-3","6.66e-1","1.41","8.88e-1","6.66e-1","2.00e-3"
"UP_KW_CELLULAR_COMPONENT","Cell membrane","22.46%","31","122","798","5258","3.51e-3","2.37e-2","1.67","9.04e-2","2.10e-2","2.00e-3"
"UP_SEQ_FEATURE","TOPO_DOM:Extracellular","16.67%","23","135","529","5763","4.86e-3","6.66e-1","1.86","9.74e-1","6.66e-1","2.48e-3"
"INTERPRO","Ubiquitin-like_domsf","5.07%","7","138","78","6002","8.48e-3","1.00e+0","3.90","9.97e-1","1.00e+0","1.98e-3"
"GOTERM_BP_DIRECT","extrinsic apoptotic signaling pathway via death domain receptors","2.17%","3","133","8","5659","1.38e-2","1.00e+0","15.96","1.00e+0","1.00e+0","6.52e-4"
"GOTERM_MF_DIRECT","ubiquitin binding","3.62%","5","130","43","5577","1.68e-2","1.00e+0","4.99","9.99e-1","1.00e+0","3.01e-3"
