"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_SEQ_FEATURE","REGION:Disordered","79.65%","90","108","3749","5763","2.27e-5","1.47e-2","1.28","1.46e-2","1.47e-2","1.75e-5"
"UP_SEQ_FEATURE","COMPBIAS:Basic and acidic residues","43.36%","49","108","1793","5763","1.76e-3","5.28e-1","1.46","6.81e-1","5.28e-1","1.18e-3"
"GOTERM_CC_DIRECT","Z disc","4.42%","5","108","32","5845","2.57e-3","2.86e-1","8.46","4.51e-1","2.86e-1","2.66e-4"
"GOTERM_CC_DIRECT","membrane","35.40%","40","108","1412","5845","2.76e-3","2.86e-1","1.53","4.75e-1","2.86e-1","1.74e-3"
"GOTERM_CC_DIRECT","lamellipodium","5.31%","6","108","57","5845","3.68e-3","2.86e-1","5.70","5.77e-1","2.86e-1","5.84e-4"
"UP_KW_BIOLOGICAL_PROCESS","Transport","23.01%","26","66","864","3543","7.69e-3","4.23e-1","1.62","3.46e-1","4.23e-1","4.57e-3"
"UP_SEQ_FEATURE","COMPBIAS:Polar residues","38.94%","44","108","1669","5763","7.83e-3","5.28e-1","1.41","9.94e-1","5.28e-1","5.38e-3"
"GOTERM_CC_DIRECT","A band","2.65%","3","108","8","5845","8.65e-3","5.04e-1","20.30","8.68e-1","5.04e-1","3.21e-4"
"GOTERM_BP_DIRECT","positive regulation of gene expression","6.19%","7","104","104","5659","1.13e-2","1.00e+0","3.66","1.00e+0","1.00e+0","2.85e-3"
"GOTERM_MF_DIRECT","structural molecule activity","3.54%","4","103","26","5577","1.14e-2","1.00e+0","8.33","9.73e-1","1.00e+0","1.20e-3"
"UP_KW_CELLULAR_COMPONENT","Cytoskeleton","14.16%","16","99","428","5258","1.21e-2","4.25e-1","1.99","3.48e-1","4.00e-1","5.77e-3"
"INTERPRO","Ig_I-set","4.42%","5","113","49","6002","1.28e-2","1.00e+0","5.42","9.99e-1","1.00e+0","2.13e-3"
"INTERPRO","G-protein_beta_WD-40_rep","4.42%","5","113","49","6002","1.28e-2","1.00e+0","5.42","9.99e-1","1.00e+0","2.13e-3"
"GOTERM_MF_DIRECT","spectrin binding","2.65%","3","103","10","5577","1.35e-2","1.00e+0","16.24","9.87e-1","1.00e+0","6.68e-4"
"KEGG_PATHWAY","Ubiquitin mediated proteolysis","2.65%","3","53","10","2776","1.41e-2","1.00e+0","15.71","8.56e-1","1.00e+0","7.18e-4"
"UP_KW_MOLECULAR_FUNCTION","Developmental protein","11.50%","13","68","356","3890","1.68e-2","2.80e-1","2.09","5.50e-1","2.80e-1","7.59e-3"
"UP_KW_MOLECULAR_FUNCTION","Developmental protein","11.50%","13","68","356","3890","1.68e-2","2.80e-1","2.09","5.50e-1","2.80e-1","7.59e-3"
"GOTERM_CC_DIRECT","lateral plasma membrane","3.54%","4","108","30","5845","1.69e-2","7.88e-1","7.22","9.81e-1","7.88e-1","2.09e-3"
"UP_SEQ_FEATURE","DOMAIN:Ig-like","4.42%","5","108","54","5763","1.74e-2","5.28e-1","4.94","1.00e+0","5.28e-1","3.21e-3"
"UP_KW_MOLECULAR_FUNCTION","DNA-binding","13.27%","15","68","447","3890","1.79e-2","2.80e-1","1.92","5.72e-1","2.80e-1","8.79e-3"
"INTERPRO","Ig_sub2","4.42%","5","113","55","6002","1.89e-2","1.00e+0","4.83","1.00e+0","1.00e+0","3.56e-3"
"GOTERM_BP_DIRECT","positive regulation of interferon-beta production","2.65%","3","104","12","5659","1.92e-2","1.00e+0","13.60","1.00e+0","1.00e+0","1.18e-3"
"UP_SEQ_FEATURE","REPEAT:WD 6","6.19%","7","108","117","5763","2.11e-2","5.28e-1","3.19","1.00e+0","5.28e-1","6.11e-3"
"GOTERM_CC_DIRECT","sarcolemma","3.54%","4","108","33","5845","2.19e-2","8.43e-1","6.56","9.94e-1","8.43e-1","2.99e-3"
"UP_KW_DOMAIN","Repeat","31.86%","36","77","1323","3850","2.20e-2","2.66e-1","1.36","3.59e-1","2.66e-1","1.55e-2"
"GOTERM_BP_DIRECT","positive regulation of mitochondrial translation","2.65%","3","104","13","5659","2.25e-2","1.00e+0","12.56","1.00e+0","1.00e+0","1.51e-3"
"INTERPRO","Ig_sub","4.42%","5","113","58","6002","2.25e-2","1.00e+0","4.58","1.00e+0","1.00e+0","4.48e-3"
"GOTERM_MF_DIRECT","gamma-tubulin binding","2.65%","3","103","13","5577","2.27e-2","1.00e+0","12.50","9.99e-1","1.00e+0","1.53e-3"
"GOTERM_MF_DIRECT","mRNA 5'-UTR binding","2.65%","3","103","13","5577","2.27e-2","1.00e+0","12.50","9.99e-1","1.00e+0","1.53e-3"
"INTERPRO","Ig-like_dom_sf","4.42%","5","113","60","6002","2.52e-2","1.00e+0","4.43","1.00e+0","1.00e+0","5.19e-3"
"GOTERM_CC_DIRECT","nucleoplasm","23.01%","26","108","924","5845","2.53e-2","8.43e-1","1.52","9.97e-1","8.43e-1","1.58e-2"
"UP_KW_DOMAIN","Immunoglobulin domain","4.42%","5","77","58","3850","2.66e-2","2.66e-1","4.31","4.17e-1","2.66e-1","5.63e-3"
"GOTERM_MF_DIRECT","actin binding","5.31%","6","103","93","5577","2.71e-2","1.00e+0","3.49","1.00e+0","1.00e+0","7.15e-3"
"INTERPRO","Ig-like_dom","4.42%","5","113","62","6002","2.80e-2","1.00e+0","4.28","1.00e+0","1.00e+0","5.97e-3"
"GOTERM_CC_DIRECT","chromatin","7.08%","8","108","164","5845","3.01e-2","8.73e-1","2.64","9.99e-1","8.73e-1","1.06e-2"
"GOTERM_MF_DIRECT","cadherin binding","3.54%","4","103","38","5577","3.16e-2","1.00e+0","5.70","1.00e+0","1.00e+0","5.00e-3"
"SMART","IGc2","4.42%","5","68","55","3019","3.24e-2","1.00e+0","4.04","9.55e-1","1.00e+0","7.27e-3"
"GOTERM_CC_DIRECT","M band","2.65%","3","108","16","5845","3.37e-2","8.73e-1","10.15","1.00e+0","8.73e-1","2.88e-3"
"UP_SEQ_FEATURE","TOPO_DOM:Extracellular","15.04%","17","108","529","5763","3.38e-2","5.28e-1","1.71","1.00e+0","5.28e-1","1.85e-2"
"UP_KW_CELLULAR_COMPONENT","Cytoplasm","41.59%","47","99","1975","5258","3.48e-2","4.46e-1","1.26","7.11e-1","4.21e-1","2.66e-2"
"GOTERM_BP_DIRECT","positive regulation of chemokine (C-C motif) ligand 5 production","1.77%","2","104","2","5659","3.61e-2","1.00e+0","54.41","1.00e+0","1.00e+0","3.35e-4"
"GOTERM_BP_DIRECT","protein localization to cytoplasmic stress granule","1.77%","2","104","2","5659","3.61e-2","1.00e+0","54.41","1.00e+0","1.00e+0","3.35e-4"
"GOTERM_BP_DIRECT","positive regulation of protein autophosphorylation","1.77%","2","104","2","5659","3.61e-2","1.00e+0","54.41","1.00e+0","1.00e+0","3.35e-4"
"GOTERM_MF_DIRECT","CTPase activity","1.77%","2","103","2","5577","3.62e-2","1.00e+0","54.15","1.00e+0","1.00e+0","3.38e-4"
"GOTERM_MF_DIRECT","RNA strand annealing activity","1.77%","2","103","2","5577","3.62e-2","1.00e+0","54.15","1.00e+0","1.00e+0","3.38e-4"
"GOTERM_MF_DIRECT","DNA binding","13.27%","15","103","455","5577","3.63e-2","1.00e+0","1.79","1.00e+0","1.00e+0","1.91e-2"
"UP_SEQ_FEATURE","MUTAGEN:S->A: Impairs phosphorylation by TBK1 and fails to synergize with TBK1 in IFN-beta induction; when associated with A-438; A-442; A-456 and A-520.","1.77%","2","108","2","5763","3.68e-2","5.28e-1","53.36","1.00e+0","5.28e-1","3.48e-4"
"UP_SEQ_FEATURE","REGION:Interaction with VACV protein K7","1.77%","2","108","2","5763","3.68e-2","5.28e-1","53.36","1.00e+0","5.28e-1","3.48e-4"
"UP_SEQ_FEATURE","MUTAGEN:DEAD->AEAA: Loss of ATPase activity.","1.77%","2","108","2","5763","3.68e-2","5.28e-1","53.36","1.00e+0","5.28e-1","3.48e-4"
"UP_SEQ_FEATURE","MUTAGEN:E->Q: Loss of both ATPase and RNA helicase activities; decreased up-regulation of CDKN1A promoter activity and HNF4A-mediated MTTP transcriptional activation; no effect on the repression of cap- and IRES-dependent translation, WNT/beta catenin signaling, nor on stress granule assembly. Does not promote the translation of HIV-1 RNA.","1.77%","2","108","2","5763","3.68e-2","5.28e-1","53.36","1.00e+0","5.28e-1","3.48e-4"
"UP_SEQ_FEATURE","REGION:Interaction with CHUK","1.77%","2","108","2","5763","3.68e-2","5.28e-1","53.36","1.00e+0","5.28e-1","3.48e-4"
"UP_SEQ_FEATURE","MUTAGEN:Y->A: Impaired interaction with EIF4E; impaired stress granule formation, decreased repression of cap-dependent translation and decreased ability to enhance IRES-mediated translation. No effect on translation of HIV-1 RNA; when associated with A-43.","1.77%","2","108","2","5763","3.68e-2","5.28e-1","53.36","1.00e+0","5.28e-1","3.48e-4"
"UP_SEQ_FEATURE","MUTAGEN:S->A: Impairs phosphorylation by TBK1 and fails to synergize with TBK1 in IFN-beta induction; when associated with A-429; A-438; A-456 and A-520.","1.77%","2","108","2","5763","3.68e-2","5.28e-1","53.36","1.00e+0","5.28e-1","3.48e-4"
"UP_SEQ_FEATURE","MUTAGEN:D->A: No effect on general translation; when associated with A-200; A-207; A-230 and A-348.","1.77%","2","108","2","5763","3.68e-2","5.28e-1","53.36","1.00e+0","5.28e-1","3.48e-4"
"UP_SEQ_FEATURE","MUTAGEN:S->D: Interacts with IRF3 and enhances IFNB promoter induction.","1.77%","2","108","2","5763","3.68e-2","5.28e-1","53.36","1.00e+0","5.28e-1","3.48e-4"
