"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"INTERPRO","CBR1-like","9.68%","3","31","3","6002","7.22e-5","8.45e-3","193.61","8.42e-3","7.87e-3","1.25e-7"
"GOTERM_MF_DIRECT","prostaglandin E2 9-reductase activity","9.68%","3","30","3","5577","7.81e-5","1.95e-3","185.90","7.78e-3","1.83e-3","1.41e-7"
"GOTERM_MF_DIRECT","S-nitrosoglutathione reductase (NADPH) activity","9.68%","3","30","3","5577","7.81e-5","1.95e-3","185.90","7.78e-3","1.83e-3","1.41e-7"
"GOTERM_MF_DIRECT","15-hydroxyprostaglandin dehydrogenase (NADP+) activity","9.68%","3","30","3","5577","7.81e-5","1.95e-3","185.90","7.78e-3","1.83e-3","1.41e-7"
"GOTERM_MF_DIRECT","15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity","9.68%","3","30","3","5577","7.81e-5","1.95e-3","185.90","7.78e-3","1.83e-3","1.41e-7"
"GOTERM_BP_DIRECT","vitamin K metabolic process","9.68%","3","29","4","5659","1.41e-4","2.75e-2","146.35","2.71e-2","2.68e-2","4.82e-7"
"INTERPRO","Lipase_panc","9.68%","3","31","5","6002","2.39e-4","9.71e-3","116.17","2.76e-2","9.04e-3","1.24e-6"
"SMART","LH2","9.68%","3","14","6","3019","2.54e-4","4.32e-3","107.82","4.31e-3","4.32e-3","1.58e-6"
"GOTERM_BP_DIRECT","triglyceride catabolic process","9.68%","3","29","6","5659","3.50e-4","2.85e-2","97.57","6.60e-2","2.77e-2","2.40e-6"
"GOTERM_MF_DIRECT","carbonyl reductase (NADPH) activity","9.68%","3","30","6","5577","3.87e-4","7.73e-3","92.95","3.79e-2","7.27e-3","2.78e-6"
"GOTERM_BP_DIRECT","lipid metabolic process","19.35%","6","29","134","5659","4.38e-4","2.85e-2","8.74","8.19e-2","2.77e-2","4.78e-5"
"INTERPRO","Lipase_N","9.68%","3","31","7","6002","4.99e-4","9.71e-3","82.98","5.68e-2","9.04e-3","4.31e-6"
