"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion","30.11%","84","240","689","5258","9.44e-19","3.11e-17","2.67","3.11e-17","3.02e-17","3.25e-19"
"UP_KW_DOMAIN","Transit peptide","19.00%","53","156","394","3850","5.46e-16","1.09e-14","3.32","1.11e-14","1.09e-14","1.19e-16"
"UP_SEQ_FEATURE","TRANSIT:Mitochondrion","19.00%","53","260","384","5763","1.56e-13","1.54e-10","3.06","1.54e-10","1.54e-10","4.59e-14"
"GOTERM_CC_DIRECT","mitochondrial inner membrane","14.34%","40","272","238","5845","1.78e-12","5.10e-10","3.61","5.10e-10","5.02e-10","4.29e-13"
"UP_KW_MOLECULAR_FUNCTION","Ribonucleoprotein","10.75%","30","187","150","3890","3.32e-11","1.89e-9","4.16","1.89e-9","1.86e-9","6.70e-12"
"GOTERM_CC_DIRECT","mitochondrial large ribosomal subunit","5.73%","16","272","38","5845","3.97e-11","5.68e-9","9.05","1.14e-8","5.60e-9","2.77e-12"
"GOTERM_BP_DIRECT","mitochondrial translation","6.81%","19","264","60","5659","9.17e-11","8.22e-8","6.79","8.22e-8","8.22e-8","9.84e-12"
"UP_KW_MOLECULAR_FUNCTION","Ribosomal protein","8.60%","24","187","100","3890","1.12e-10","3.20e-9","4.99","6.39e-9","3.14e-9","1.80e-11"
"GOTERM_CC_DIRECT","mitochondrion","26.16%","73","272","756","5845","4.95e-10","4.72e-8","2.07","1.42e-7","4.65e-8","2.24e-10"
"GOTERM_MF_DIRECT","structural constituent of ribosome","6.81%","19","256","95","5577","1.96e-7","8.91e-5","4.36","8.91e-5","8.91e-5","3.77e-8"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion inner membrane","8.60%","24","240","152","5258","2.53e-7","4.18e-6","3.46","8.36e-6","4.05e-6","6.42e-8"
"UP_KW_PTM","Acetylation","25.81%","72","150","1077","3694","8.70e-7","1.30e-5","1.65","1.22e-5","1.30e-5","5.09e-7"
"UP_KW_BIOLOGICAL_PROCESS","Respiratory chain","3.23%","9","161","24","3543","5.76e-6","4.38e-4","8.25","4.38e-4","4.38e-4","4.81e-7"
"GOTERM_CC_DIRECT","mitochondrial small ribosomal subunit","2.87%","8","272","21","5845","2.83e-5","2.02e-3","8.19","8.06e-3","2.00e-3","2.38e-6"
"UP_KW_BIOLOGICAL_PROCESS","Electron transport","3.94%","11","161","49","3543","4.76e-5","1.81e-3","4.94","3.61e-3","1.81e-3","7.88e-6"
"KEGG_PATHWAY","Amyotrophic lateral sclerosis","2.51%","7","140","17","2776","1.11e-4","5.22e-2","8.16","5.09e-2","5.21e-2","9.10e-6"
