"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_CC_DIRECT","mitochondrial large ribosomal subunit","3.66%","16","429","38","5845","2.37e-8","1.10e-5","5.74","1.10e-5","1.09e-5","2.66e-9"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion","20.37%","89","387","689","5258","3.73e-8","1.57e-6","1.76","1.57e-6","1.57e-6","1.99e-8"
"GOTERM_BP_DIRECT","mitochondrial translation","4.35%","19","419","60","5659","1.52e-7","2.54e-4","4.28","2.54e-4","2.54e-4","2.65e-8"
"UP_KW_MOLECULAR_FUNCTION","Ribosomal protein","5.49%","24","284","100","3890","4.08e-7","2.38e-5","3.29","3.02e-5","2.38e-5","1.01e-7"
"UP_KW_MOLECULAR_FUNCTION","Ribonucleoprotein","6.86%","30","284","150","3890","6.44e-7","2.38e-5","2.74","4.77e-5","2.38e-5","2.01e-7"
"GOTERM_CC_DIRECT","mitochondrial inner membrane","9.15%","40","429","238","5845","1.10e-6","2.55e-4","2.29","5.09e-4","2.54e-4","4.27e-7"
"UP_SEQ_FEATURE","TRANSIT:Mitochondrion","12.36%","54","414","384","5763","1.66e-6","2.74e-3","1.96","2.74e-3","2.74e-3","7.70e-7"
"UP_KW_DOMAIN","Transit peptide","12.36%","54","278","394","3850","2.55e-6","6.11e-5","1.90","6.11e-5","6.11e-5","1.22e-6"
"GOTERM_MF_DIRECT","structural constituent of ribosome","4.35%","19","400","95","5577","1.08e-4","7.54e-2","2.79","7.26e-2","7.54e-2","3.28e-5"
"KEGG_PATHWAY","Amyotrophic lateral sclerosis","1.83%","8","215","17","2776","1.46e-4","9.13e-2","6.08","8.73e-2","9.13e-2","1.50e-5"
"UP_KW_BIOLOGICAL_PROCESS","Respiratory chain","2.06%","9","269","24","3543","2.44e-4","2.34e-2","4.94","2.31e-2","2.34e-2","3.47e-5"
"GOTERM_CC_DIRECT","mitochondrion","18.31%","80","429","756","5845","4.57e-4","5.86e-2","1.44","1.91e-1","5.84e-2","3.00e-4"
"GOTERM_CC_DIRECT","mitochondrial small ribosomal subunit","1.83%","8","429","21","5845","5.06e-4","5.86e-2","5.19","2.09e-1","5.84e-2","6.84e-5"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion inner membrane","5.49%","24","387","152","5258","6.23e-4","1.31e-2","2.15","2.58e-2","1.31e-2","2.58e-4"
"UP_KW_BIOLOGICAL_PROCESS","Electron transport","2.75%","12","269","49","3543","8.22e-4","3.95e-2","3.23","7.59e-2","3.95e-2","2.07e-4"
"UP_KW_LIGAND","Ubiquinone","1.14%","5","162","9","2635","1.33e-3","4.52e-2","9.04","4.42e-2","4.52e-2","8.51e-5"
"UP_KW_PTM","Acetylation","22.65%","99","264","1077","3694","2.01e-3","4.21e-2","1.29","3.94e-2","4.21e-2","1.50e-3"
"INTERPRO","USP_CS","1.83%","8","437","27","6002","2.52e-3","1.00e+0","4.07","9.75e-1","1.00e+0","4.78e-4"
"UP_KW_BIOLOGICAL_PROCESS","Chromosome partition","1.83%","8","269","27","3543","3.11e-3","9.97e-2","3.90","2.59e-1","9.97e-2","6.18e-4"
"INTERPRO","Peptidase_C19_UCH","1.83%","8","437","29","6002","3.90e-3","1.00e+0","3.79","9.97e-1","1.00e+0","8.12e-4"
