"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion","32.12%","62","162","689","5258","5.88e-16","2.00e-14","2.92","1.89e-14","2.00e-14","1.53e-16"
"UP_KW_DOMAIN","Transit peptide","20.73%","40","118","394","3850","4.13e-12","8.26e-11","3.31","8.26e-11","8.26e-11","1.15e-12"
"UP_SEQ_FEATURE","TRANSIT:Mitochondrion","20.73%","40","184","384","5763","3.30e-11","2.88e-8","3.26","2.88e-8","2.88e-8","9.32e-12"
"GOTERM_CC_DIRECT","mitochondrion","28.50%","55","186","756","5845","2.27e-9","5.41e-7","2.29","5.41e-7","5.32e-7","9.44e-10"
"GOTERM_BP_DIRECT","mitochondrial translation","7.77%","15","184","60","5659","3.93e-9","3.05e-6","7.69","3.05e-6","3.05e-6","4.01e-10"
"GOTERM_CC_DIRECT","mitochondrial inner membrane","14.51%","28","186","238","5845","4.68e-9","5.57e-7","3.70","1.11e-6","5.48e-7","1.15e-9"
"UP_KW_MOLECULAR_FUNCTION","Ribosomal protein","8.81%","17","126","100","3890","6.82e-8","3.95e-6","5.25","3.95e-6","3.95e-6","1.11e-8"
"GOTERM_CC_DIRECT","mitochondrial large ribosomal subunit","5.70%","11","186","38","5845","1.73e-7","1.37e-5","9.10","4.12e-5","1.35e-5","1.43e-8"
"UP_KW_MOLECULAR_FUNCTION","Muscle protein","3.63%","7","126","11","3890","3.96e-7","1.15e-5","19.65","2.30e-5","1.15e-5","9.40e-9"
"UP_KW_MOLECULAR_FUNCTION","Ribonucleoprotein","9.84%","19","126","150","3890","8.89e-7","1.72e-5","3.91","5.16e-5","1.72e-5","2.04e-7"
"GOTERM_MF_DIRECT","structural constituent of ribosome","7.77%","15","175","95","5577","1.11e-6","4.12e-4","5.03","4.12e-4","4.12e-4","1.91e-7"
"UP_KW_BIOLOGICAL_PROCESS","Respiratory chain","4.15%","8","106","24","3543","3.76e-6","2.44e-4","11.14","2.44e-4","2.44e-4","2.44e-7"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion inner membrane","8.29%","16","162","152","5258","5.34e-5","9.08e-4","3.42","1.81e-3","9.08e-4","1.42e-5"
