"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","slow axonal transport","11.76%","2","17","2","5659","5.65e-3","1.84e-1","332.88","5.21e-1","1.81e-1","8.50e-6"
"GOTERM_BP_DIRECT","late endosomal microautophagy","11.76%","2","17","2","5659","5.65e-3","1.84e-1","332.88","5.21e-1","1.81e-1","8.50e-6"
"GOTERM_BP_DIRECT","protein targeting to lysosome involved in chaperone-mediated autophagy","11.76%","2","17","2","5659","5.65e-3","1.84e-1","332.88","5.21e-1","1.81e-1","8.50e-6"
"GOTERM_BP_DIRECT","chaperone-mediated autophagy translocation complex disassembly","11.76%","2","17","2","5659","5.65e-3","1.84e-1","332.88","5.21e-1","1.81e-1","8.50e-6"
"GOTERM_BP_DIRECT","negative regulation of supramolecular fiber organization","11.76%","2","17","4","5659","1.13e-2","2.61e-1","166.44","7.71e-1","2.57e-1","5.08e-5"
"GOTERM_BP_DIRECT","negative regulation of NLRP3 inflammasome complex assembly","11.76%","2","17","5","5659","1.41e-2","2.61e-1","133.15","8.41e-1","2.57e-1","8.45e-5"
"GOTERM_BP_DIRECT","clathrin coat disassembly","11.76%","2","17","5","5659","1.41e-2","2.61e-1","133.15","8.41e-1","2.57e-1","8.45e-5"
"GOTERM_BP_DIRECT","RNA splicing","17.65%","3","17","103","5659","3.33e-2","5.41e-1","9.70","9.88e-1","5.33e-1","3.31e-3"
"GOTERM_BP_DIRECT","protein refolding","11.76%","2","17","15","5659","4.16e-2","5.41e-1","44.38","9.96e-1","5.33e-1","8.72e-4"
"GOTERM_BP_DIRECT","ATP metabolic process","11.76%","2","17","15","5659","4.16e-2","5.41e-1","44.38","9.96e-1","5.33e-1","8.72e-4"
"GOTERM_BP_DIRECT","chaperone cofactor-dependent protein refolding","11.76%","2","17","18","5659","4.98e-2","5.88e-1","36.99","9.99e-1","5.79e-1","1.26e-3"
"GOTERM_BP_DIRECT","mRNA processing","17.65%","3","17","139","5659","5.74e-2","6.22e-1","7.18","1.00e+0","6.12e-1","7.66e-3"
"GOTERM_CC_DIRECT","melanosome","17.65%","3","17","37","5845","4.43e-3","1.82e-1","27.88","1.81e-1","1.62e-1","1.49e-4"
"GOTERM_CC_DIRECT","postsynaptic cytosol","11.76%","2","17","7","5845","1.90e-2","1.82e-1","98.24","5.78e-1","1.62e-1","1.66e-4"
"GOTERM_CC_DIRECT","spliceosomal complex","17.65%","3","17","79","5845","1.91e-2","1.82e-1","13.06","5.81e-1","1.62e-1","1.41e-3"
"GOTERM_CC_DIRECT","extracellular space","23.53%","4","17","232","5845","2.36e-2","1.82e-1","5.93","6.58e-1","1.62e-1","3.83e-3"
"GOTERM_CC_DIRECT","protein folding chaperone complex","11.76%","2","17","9","5845","2.44e-2","1.82e-1","76.41","6.71e-1","1.62e-1","2.83e-4"
"GOTERM_CC_DIRECT","Prp19 complex","11.76%","2","17","11","5845","2.97e-2","1.82e-1","62.51","7.43e-1","1.62e-1","4.31e-4"
