"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"INTERPRO","CBR1-like","11.11%","3","26","3","6002","4.98e-5","5.08e-3","230.85","5.07e-3","4.74e-3","7.22e-8"
"GOTERM_MF_DIRECT","prostaglandin E2 9-reductase activity","11.11%","3","26","3","5577","5.77e-5","1.30e-3","214.50","5.18e-3","1.21e-3","9.00e-8"
"GOTERM_MF_DIRECT","15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity","11.11%","3","26","3","5577","5.77e-5","1.30e-3","214.50","5.18e-3","1.21e-3","9.00e-8"
"GOTERM_MF_DIRECT","S-nitrosoglutathione reductase (NADPH) activity","11.11%","3","26","3","5577","5.77e-5","1.30e-3","214.50","5.18e-3","1.21e-3","9.00e-8"
"GOTERM_MF_DIRECT","15-hydroxyprostaglandin dehydrogenase (NADP+) activity","11.11%","3","26","3","5577","5.77e-5","1.30e-3","214.50","5.18e-3","1.21e-3","9.00e-8"
"GOTERM_BP_DIRECT","vitamin K metabolic process","11.11%","3","23","4","5659","8.62e-5","1.09e-2","184.53","1.08e-2","1.03e-2","2.34e-7"
"UP_KW_MOLECULAR_FUNCTION","Oxidoreductase","29.63%","8","17","345","3890","2.30e-4","4.13e-3","5.31","4.13e-3","4.13e-3","4.20e-5"
"GOTERM_MF_DIRECT","carbonyl reductase (NADPH) activity","11.11%","3","26","6","5577","2.86e-4","5.15e-3","107.25","2.54e-2","4.81e-3","1.78e-6"
"INTERPRO","SDR_fam","14.81%","4","26","43","6002","7.06e-4","3.60e-2","21.47","6.95e-2","3.35e-2","3.05e-5"
"GOTERM_BP_DIRECT","positive regulation of reactive oxygen species metabolic process","11.11%","3","23","11","5659","7.77e-4","4.89e-2","67.10","9.33e-2","4.66e-2","9.48e-6"
"GOTERM_MF_DIRECT","oxidoreductase activity","18.52%","5","26","125","5577","2.11e-3","3.17e-2","8.58","1.73e-1","2.96e-2","2.35e-4"
"UP_KW_CELLULAR_COMPONENT","Secreted","22.22%","6","21","279","5258","3.25e-3","3.25e-2","5.38","3.21e-2","3.25e-2","5.83e-4"
"GOTERM_BP_DIRECT","xenobiotic metabolic process","11.11%","3","23","23","5659","3.47e-3","1.46e-1","32.09","3.55e-1","1.39e-1","9.85e-5"
"GOTERM_CC_DIRECT","microvillus","11.11%","3","25","22","5845","3.55e-3","1.03e-1","31.88","1.36e-1","1.03e-1","1.01e-4"
"INTERPRO","Sc_DH/Rdtase_CS","11.11%","3","26","25","6002","4.71e-3","1.27e-1","27.70","3.82e-1","1.18e-1","1.56e-4"
"GOTERM_CC_DIRECT","extracellular region","22.22%","6","25","282","5845","5.03e-3","1.03e-1","4.97","1.87e-1","1.03e-1","9.73e-4"
"UP_SEQ_FEATURE","ACT_SITE:Proton acceptor","25.93%","7","25","402","5763","5.08e-3","2.36e-1","4.01","3.51e-1","2.36e-1","1.22e-3"
"GOTERM_BP_DIRECT","phylloquinone catabolic process","7.41%","2","23","2","5659","7.76e-3","1.63e-1","246.04","6.25e-1","1.55e-1","1.58e-5"
"GOTERM_BP_DIRECT","glucocorticoid metabolic process","7.41%","2","23","2","5659","7.76e-3","1.63e-1","246.04","6.25e-1","1.55e-1","1.58e-5"
"GOTERM_BP_DIRECT","response to gonadotropin","7.41%","2","23","2","5659","7.76e-3","1.63e-1","246.04","6.25e-1","1.55e-1","1.58e-5"
"UP_KW_DOMAIN","Signal","33.33%","9","17","790","3850","8.10e-3","7.29e-2","2.58","7.06e-2","7.29e-2","3.04e-3"
"GOTERM_CC_DIRECT","chitin-based extracellular matrix","7.41%","2","25","2","5845","8.20e-3","1.12e-1","233.80","2.86e-1","1.12e-1","1.76e-5"
"UP_SEQ_FEATURE","DOMAIN:Gamma-butyrobetaine hydroxylase-like N-terminal","7.41%","2","25","2","5763","8.31e-3","2.36e-1","230.52","5.08e-1","2.36e-1","1.81e-5"
"UP_SEQ_FEATURE","DOMAIN:TauD/TfdA-like","7.41%","2","25","2","5763","8.31e-3","2.36e-1","230.52","5.08e-1","2.36e-1","1.81e-5"
"INTERPRO","GBBH-like","7.41%","2","26","2","6002","8.31e-3","1.27e-1","230.85","5.73e-1","1.18e-1","1.80e-5"
"GOTERM_MF_DIRECT","structural constituent of chitin-based larval cuticle","7.41%","2","26","2","5577","8.95e-3","1.01e-1","214.50","5.55e-1","9.39e-2","2.09e-5"
"GOTERM_MF_DIRECT","gamma-butyrobetaine dioxygenase activity","7.41%","2","26","2","5577","8.95e-3","1.01e-1","214.50","5.55e-1","9.39e-2","2.09e-5"
"INTERPRO","NAD(P)-bd_dom_sf","14.81%","4","26","108","6002","9.77e-3","1.27e-1","8.55","6.33e-1","1.18e-1","1.09e-3"
"UP_KW_CELLULAR_COMPONENT","Cuticle","7.41%","2","21","3","5258","1.14e-2","5.68e-2","166.92","1.08e-1","5.68e-2","4.55e-5"
"GOTERM_BP_DIRECT","steroid catabolic process","7.41%","2","23","3","5659","1.16e-2","1.63e-1","164.03","7.71e-1","1.55e-1","4.73e-5"
"GOTERM_BP_DIRECT","prostaglandin catabolic process","7.41%","2","23","3","5659","1.16e-2","1.63e-1","164.03","7.71e-1","1.55e-1","4.73e-5"
"GOTERM_BP_DIRECT","ovulation from ovarian follicle","7.41%","2","23","3","5659","1.16e-2","1.63e-1","164.03","7.71e-1","1.55e-1","4.73e-5"
"INTERPRO","TauD/TfdA-like","7.41%","2","26","3","6002","1.24e-2","1.27e-1","153.90","7.21e-1","1.18e-1","5.40e-5"
"INTERPRO","GBBH-like_N","7.41%","2","26","3","6002","1.24e-2","1.27e-1","153.90","7.21e-1","1.18e-1","5.40e-5"
"INTERPRO","TauD-like_sf","7.41%","2","26","3","6002","1.24e-2","1.27e-1","153.90","7.21e-1","1.18e-1","5.40e-5"
