"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"INTERPRO","Ig_I-set","9.76%","4","41","49","6002","4.09e-3","3.21e-1","11.95","5.65e-1","3.21e-1","3.18e-4"
"INTERPRO","Ig_sub2","9.76%","4","41","55","6002","5.66e-3","3.21e-1","10.65","6.84e-1","3.21e-1","4.97e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like","9.76%","4","41","54","5763","6.02e-3","3.43e-1","10.41","8.80e-1","3.43e-1","5.39e-4"
"INTERPRO","Ig_sub","9.76%","4","41","58","6002","6.57e-3","3.21e-1","10.10","7.38e-1","3.21e-1","6.09e-4"
"INTERPRO","Ig-like_dom_sf","9.76%","4","41","60","6002","7.22e-3","3.21e-1","9.76","7.70e-1","3.21e-1","6.93e-4"
"INTERPRO","Ig-like_dom","9.76%","4","41","62","6002","7.90e-3","3.21e-1","9.44","8.00e-1","3.21e-1","7.85e-4"
"UP_KW_DOMAIN","Immunoglobulin domain","9.76%","4","29","58","3850","8.14e-3","1.46e-1","9.16","1.37e-1","1.46e-1","8.32e-4"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 5","7.32%","3","41","21","5763","9.08e-3","3.43e-1","20.08","9.59e-1","3.43e-1","4.07e-4"
"SMART","IGc2","9.76%","4","26","55","3019","9.91e-3","2.69e-1","8.44","3.74e-1","2.69e-1","1.09e-3"
"SMART","IG","9.76%","4","26","58","3019","1.15e-2","2.69e-1","8.01","4.18e-1","2.69e-1","1.34e-3"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 4","7.32%","3","41","25","5763","1.27e-2","3.43e-1","16.87","9.89e-1","3.43e-1","6.90e-4"
"GOTERM_BP_DIRECT","in utero embryonic development","9.76%","4","38","77","5659","1.35e-2","1.00e+0","7.74","9.91e-1","1.00e+0","1.65e-3"
"GOTERM_CC_DIRECT","Z disc","7.32%","3","39","32","5845","1.81e-2","1.00e+0","14.05","8.96e-1","1.00e+0","1.19e-3"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 3","7.32%","3","41","30","5763","1.81e-2","3.43e-1","14.06","9.98e-1","3.43e-1","1.19e-3"
"GOTERM_CC_DIRECT","sarcolemma","7.32%","3","39","33","5845","1.91e-2","1.00e+0","13.62","9.09e-1","1.00e+0","1.30e-3"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 14","4.88%","2","41","3","5763","2.07e-2","3.43e-1","93.71","9.99e-1","3.43e-1","1.47e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 20","4.88%","2","41","3","5763","2.07e-2","3.43e-1","93.71","9.99e-1","3.43e-1","1.47e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 11","4.88%","2","41","3","5763","2.07e-2","3.43e-1","93.71","9.99e-1","3.43e-1","1.47e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 13","4.88%","2","41","3","5763","2.07e-2","3.43e-1","93.71","9.99e-1","3.43e-1","1.47e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 18","4.88%","2","41","3","5763","2.07e-2","3.43e-1","93.71","9.99e-1","3.43e-1","1.47e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 16","4.88%","2","41","3","5763","2.07e-2","3.43e-1","93.71","9.99e-1","3.43e-1","1.47e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 15","4.88%","2","41","3","5763","2.07e-2","3.43e-1","93.71","9.99e-1","3.43e-1","1.47e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 8","4.88%","2","41","3","5763","2.07e-2","3.43e-1","93.71","9.99e-1","3.43e-1","1.47e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 5","4.88%","2","41","3","5763","2.07e-2","3.43e-1","93.71","9.99e-1","3.43e-1","1.47e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 6","4.88%","2","41","3","5763","2.07e-2","3.43e-1","93.71","9.99e-1","3.43e-1","1.47e-4"
