"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_BIOLOGICAL_PROCESS","mRNA splicing","13.24%","18","102","146","3543","4.60e-7","3.18e-5","4.28","3.18e-5","3.18e-5","9.65e-8"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1); alternate","7.35%","10","132","45","5763","5.46e-7","3.90e-4","9.70","3.89e-4","3.90e-4","4.56e-8"
"UP_KW_CELLULAR_COMPONENT","Nucleus","49.26%","67","121","1841","5258","4.68e-6","1.31e-4","1.58","1.31e-4","1.31e-4","2.89e-6"
"UP_KW_BIOLOGICAL_PROCESS","mRNA processing","13.97%","19","102","192","3543","5.13e-6","1.77e-4","3.44","3.54e-4","1.77e-4","1.37e-6"
"GOTERM_CC_DIRECT","spliceosomal complex","8.09%","11","133","79","5845","9.40e-6","2.00e-3","6.12","2.00e-3","2.00e-3","1.35e-6"
"GOTERM_BP_DIRECT","mRNA processing","10.29%","14","135","139","5659","2.10e-5","9.35e-3","4.22","1.44e-2","9.34e-3","4.54e-6"
"GOTERM_BP_DIRECT","RNA splicing","8.82%","12","135","103","5659","2.71e-5","9.35e-3","4.88","1.85e-2","9.34e-3","4.99e-6"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate","7.35%","10","132","71","5763","2.78e-5","9.93e-3","6.15","1.97e-2","9.93e-3","3.98e-6"
"GOTERM_CC_DIRECT","nuclear speck","10.29%","14","133","151","5845","3.10e-5","3.30e-3","4.07","6.58e-3","3.30e-3","6.98e-6"
"UP_KW_CELLULAR_COMPONENT","Spliceosome","8.09%","11","121","90","5258","3.23e-5","4.52e-4","5.31","9.04e-4","4.52e-4","5.44e-6"
"GOTERM_CC_DIRECT","catalytic step 2 spliceosome","5.88%","8","133","50","5845","1.14e-4","8.07e-3","7.03","2.39e-2","8.07e-3","1.40e-5"
