Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
5010_10_S10_L003_R1_001	5010_10_S10_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55408961.0	0.0	157.0	51.0	23.4578910627183	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_10_S10_L003_R2_001	5010_10_S10_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55408961.0	0.0	157.0	50.0	26.84881393772121	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_11_S11_L003_R1_001	5010_11_S11_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51561411.0	0.0	157.0	50.0	24.149446250523887	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	warn
5010_11_S11_L003_R2_001	5010_11_S11_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51561411.0	0.0	157.0	50.0	27.153495912350103	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_12_S12_L003_R1_001	5010_12_S12_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49700639.0	0.0	157.0	52.0	22.8470948350395	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
5010_12_S12_L003_R2_001	5010_12_S12_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49700639.0	0.0	157.0	51.0	27.009396833868678	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
5010_13_S13_L003_R1_001	5010_13_S13_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51961921.0	0.0	157.0	52.0	22.68774461726853	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_13_S13_L003_R2_001	5010_13_S13_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51961921.0	0.0	157.0	51.0	26.88219075098476	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_14_S14_L003_R1_001	5010_14_S14_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61742397.0	0.0	157.0	52.0	21.696825580608635	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_14_S14_L003_R2_001	5010_14_S14_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61742397.0	0.0	157.0	51.0	25.669221752669507	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_15_S15_L003_R1_001	5010_15_S15_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51035645.0	0.0	157.0	51.0	23.197539297497467	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_15_S15_L003_R2_001	5010_15_S15_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51035645.0	0.0	157.0	50.0	27.80949756322691	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_16_S16_L003_R1_001	5010_16_S16_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50303860.0	0.0	157.0	51.0	23.287212712971375	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_16_S16_L003_R2_001	5010_16_S16_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50303860.0	0.0	157.0	50.0	27.880351126649046	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_17_S17_L003_R1_001	5010_17_S17_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53035213.0	0.0	157.0	51.0	24.500160653815243	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_17_S17_L003_R2_001	5010_17_S17_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53035213.0	0.0	157.0	51.0	28.76470726937749	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_18_S18_L003_R1_001	5010_18_S18_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45857954.0	0.0	157.0	52.0	23.938553224080007	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_18_S18_L003_R2_001	5010_18_S18_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45857954.0	0.0	157.0	51.0	28.042836336311407	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_19_S19_L003_R1_001	5010_19_S19_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41083020.0	0.0	157.0	52.0	22.582570814459537	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_19_S19_L003_R2_001	5010_19_S19_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41083020.0	0.0	157.0	51.0	27.33655169793453	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_1_S1_L003_R1_001	5010_1_S1_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44879741.0	0.0	157.0	52.0	21.79253775110533	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_1_S1_L003_R2_001	5010_1_S1_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44879741.0	0.0	157.0	51.0	26.351228842019164	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_20_S20_L003_R1_001	5010_20_S20_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42582408.0	0.0	157.0	52.0	24.892485758916298	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_20_S20_L003_R2_001	5010_20_S20_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42582408.0	0.0	157.0	51.0	29.264701938481526	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_21_S21_L003_R1_001	5010_21_S21_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42804254.0	0.0	157.0	51.0	26.33639983431788	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_21_S21_L003_R2_001	5010_21_S21_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42804254.0	0.0	157.0	51.0	30.706281083499743	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_22_S22_L003_R1_001	5010_22_S22_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42605646.0	0.0	157.0	51.0	24.690329542003575	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
5010_22_S22_L003_R2_001	5010_22_S22_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42605646.0	0.0	157.0	51.0	28.9485280374177	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
5010_23_S23_L003_R1_001	5010_23_S23_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41607940.0	0.0	157.0	52.0	24.503555898238776	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_23_S23_L003_R2_001	5010_23_S23_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41607940.0	0.0	157.0	51.0	29.35679266240471	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_24_S24_L003_R1_001	5010_24_S24_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47897445.0	0.0	157.0	51.0	24.607296919514827	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_24_S24_L003_R2_001	5010_24_S24_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47897445.0	0.0	157.0	51.0	29.590523882021103	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_25_S25_L003_R1_001	5010_25_S25_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48179776.0	0.0	157.0	52.0	23.474030431412153	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
5010_25_S25_L003_R2_001	5010_25_S25_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48179776.0	0.0	157.0	51.0	28.099015632770918	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
5010_26_S26_L003_R1_001	5010_26_S26_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46528496.0	0.0	157.0	51.0	26.251960053738653	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
5010_26_S26_L003_R2_001	5010_26_S26_L003_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46528496.0	0.0	157.0	50.0	31.342492945100204	157.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
5010_27_S27_L003_R1_001	5010_27_S27_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47440576.0	0.0	157.0	52.0	23.52419350023948	157.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
