gene_set,category,process,genes,count,list_total,pop_hits,pop_total,p_value,benjamini,fold_enrichment,bonferroni,fdr,fisher_exact,time,oa,response
PC1 Top 1% Negative Loadings,GO Biological Process Term,protein refolding,25.00%,8,30,15,5659,2.66E-13,5.37E-11,100.6,5.37E-11,4.92E-11,1.41E-15,,,
PC1 Top 1% Negative Loadings,GO Biological Process Term,chaperone cofactor-dependent protein refolding,21.88%,7,30,18,5659,1.86E-10,1.88E-08,73.36,3.75E-08,1.72E-08,1.70E-12,,,
PC1 Top 1% Negative Loadings,GO Biological Process Term,cellular response to unfolded protein,9.38%,3,30,8,5659,0.000697,0.0469,70.74,0.131,0.043,7.40E-06,,,
PC1 Top 1% Negative Loadings,Uniprot Biological Process Keyword,Stress response,28.13%,9,22,45,3543,6.36E-11,1.59E-09,32.21,1.59E-09,1.59E-09,1.63E-12,,,
PC1 Top 1% Positive Loadings,GO Biological Process Term,vitamin K metabolic process,9.68%,3,29,4,5659,0.000141,0.0275,146.35,0.0271,0.0268,4.82E-07,,,
PC1 Top 1% Positive Loadings,GO Biological Process Term,triglyceride catabolic process,9.68%,3,29,6,5659,0.00035,0.0285,97.57,0.066,0.0277,2.40E-06,,,
PC1 Top 1% Positive Loadings,GO Biological Process Term,lipid metabolic process,19.35%,6,29,134,5659,0.000438,0.0285,8.74,0.0819,0.0277,4.78E-05,,,
PC2 Top 1% Negative Loadings,GO Biological Process Term,peptide metabolic process,12.00%,3,24,7,5659,0.000328,0.0416,101.05,0.0408,0.038,2.32E-06,,,
PC2 Top 1% Negative Loadings,GO Biological Process Term,proteolysis,24.00%,6,24,206,5659,0.0012,0.0761,6.87,0.141,0.0695,0.000168,,,
PC2 Top 1% Positive Loadings,GO Biological Process Term,vitamin K metabolic process,11.11%,3,23,4,5659,8.62E-05,0.0109,184.53,0.0108,0.0103,2.34E-07,,,
PC2 Top 1% Positive Loadings,GO Biological Process Term,positive regulation of reactive oxygen species metabolic process,11.11%,3,23,11,5659,0.000777,0.0489,67.1,0.0933,0.0466,9.48E-06,,,
"Moderate OA 8hr, Higher Expression",Uniprot Biological Process Keyword,Respiratory chain,8.70%,4,28,24,3543,0.000718,0.0244,21.09,0.0241,0.0244,2.98E-05,short,mod,up
"Moderate OA 8hr, Higher Expression",Uniprot Biological Process Keyword,Electron transport,8.70%,4,28,49,3543,0.00576,0.0979,10.33,0.178,0.0979,0.000518,short,mod,up
